"locationID","quadrat","decimalLongitude","decimalLatitude","comment","coordinateVerticalPrecision","coordinateHorizontalPrecision","verbatimCoordinateSystem","geodeticDatum"
"I12",100,-109.865352919206,38.2728488798031,"2 transects of 50 quads",2.4,1.6,"decimal degrees","WGS84"
"I12",50,-109.865582741082,38.273917722388,"2 transects of 50 quads",3.1,2.1,"decimal degrees","WGS84"
"I12",51,-109.865529859311,38.2739287933491,"2 transects of 50 quads",2.9,2.1,"decimal degrees","WGS84"
"I16",1,-109.996579795942,38.4763153806688,"2 transects of 50 quads",2.4,1.8,"decimal degrees","WGS84"
"I16",50,-109.998234221706,38.4762794493239,"2 transects of 50 quads",2.8,2,"decimal degrees","WGS84"
"I16",51,-109.998222719182,38.476313128273,"2 transects of 50 quads",2.5,1.8,"decimal degrees","WGS84"
"I16",100,-109.996608451713,38.4764289853228,"2 transects of 50 quads",2.4,1.7,"decimal degrees","WGS84"
"I17",1,-109.908257453466,38.3298855211045,"2 transects of 50 quads",2.9,1.7,"decimal degrees","WGS84"
"I17",100,-109.908189635025,38.3299924624805,"2 transects of 50 quads",2.3,1.6,"decimal degrees","WGS84"
"I17",50,-109.909737454349,38.3297009268165,"2 transects of 50 quads",2.2,1.4,"decimal degrees","WGS84"
"I17",51,-109.909746627892,38.3297339681314,"2 transects of 50 quads",2.3,1.6,"decimal degrees","WGS84"
"I18",1,-109.809040616813,38.4906902183194,"2 transects of 50 quads",3.4,1.9,"decimal degrees","WGS84"
"I18",50,-109.810186504144,38.4907063857753,"2 transects of 50 quads",2.6,1.2,"decimal degrees","WGS84"
"I18",51,-109.810154814265,38.4907735758864,"2 transects of 50 quads",2.7,1.2,"decimal degrees","WGS84"
"I18",100,-109.809152328323,38.4907499546764,"2 transects of 50 quads",2.9,1.2,"decimal degrees","WGS84"
"I19",50,-109.810101963473,38.4905438046537,"2 transects of 50 quads",2.4,2.7,"decimal degrees","WGS84"
"I19",51,-109.810090443977,38.4904914918335,"2 transects of 50 quads",2.5,1.4,"decimal degrees","WGS84"
"I19",100,-109.809051094208,38.4905102674668,"2 transects of 50 quads",2.8,3.4,"decimal degrees","WGS84"
"I19",1,-109.80899989482,38.4905707082595,"2 transects of 50 quads",3.4,2.5,"decimal degrees","WGS84"
"M01",1,-110.001236525981,38.1690039044533,"2 transects of 50 quads",2.7,1.7,"decimal degrees","WGS84"
"M01",100,-110.001264597076,38.1691090663602,"2 transects of 50 quads",1.8,1.4,"decimal degrees","WGS84"
"M01",50,-110.002963355458,38.1686077185077,"2 transects of 50 quads",1.5,1.1,"decimal degrees","WGS84"
"M01",51,-110.002969047676,38.1686467405949,"2 transects of 50 quads",1.6,1.2,"decimal degrees","WGS84"
"M02",1,-109.961077027568,38.1635858257907,"2 transects of 50 quads",11.9,6.6,"decimal degrees","WGS84"
"M02",50,-109.962816282978,38.1640192301357,"2 transects of 50 quads",2.8,2.2,"decimal degrees","WGS84"
"M02",51,-109.962768269507,38.1640960116859,"2 transects of 50 quads",2.3,1.3,"decimal degrees","WGS84"
"M02",100,-109.96120793268,38.1636806675484,"2 transects of 50 quads",1.9,1.3,"decimal degrees","WGS84"
"M04",1,-109.930688092591,38.1614264213469,"2 transects of 50 quads",1.8,1,"decimal degrees","WGS84"
"M04",100,-109.930583749716,38.1614916564406,"2 transects of 50 quads",1.7,1.1,"decimal degrees","WGS84"
"M04",50,-109.930706865056,38.1625695859068,"2 transects of 50 quads",1.7,1.1,"decimal degrees","WGS84"
"M04",51,-109.930606768613,38.1625859392346,"2 transects of 50 quads",1.8,1.2,"decimal degrees","WGS84"
"M05",50,-109.980681101982,38.1837745625345,"2 transects of 50 quads",2.6,3,"decimal degrees","WGS84"
"M05",51,-109.980658728002,38.1837206794487,"2 transects of 50 quads",2,2.2,"decimal degrees","WGS84"
"M05",100,-109.981451028044,38.1824620195122,"2 transects of 50 quads",2.8,1.5,"decimal degrees","WGS84"
"M05",1,-109.981489376238,38.1825348920164,"2 transects of 50 quads",2.5,1.4,"decimal degrees","WGS84"
"N01",1,-109.783708056889,38.2035160388675,"2 transects of 50 quads",2.7,2.1,"decimal degrees","WGS84"
"N01",50,-109.782203284642,38.203348160231,"2 transects of 50 quads",3.6,2.6,"decimal degrees","WGS84"
"N01",51,-109.782226208369,38.2033208912995,"2 transects of 50 quads",2.6,2,"decimal degrees","WGS84"
"N01",100,-109.783754614946,38.2033969765911,"2 transects of 50 quads",14.9,10,"decimal degrees","WGS84"
"N02",100,-109.767874831142,38.1531543419909,"2 transects of 50 quads",2.5,1.6,"decimal degrees","WGS84"
"N02",1,-109.768053792868,38.1536211994937,"2 transects of 50 quads",4.3,2.1,"decimal degrees","WGS84"
"N02",51,-109.766497066842,38.1535681033291,"2 transects of 50 quads",2.7,1.7,"decimal degrees","WGS84"
"N02",50,-109.76651317907,38.1536004658186,"2 transects of 50 quads",2.8,1.6,"decimal degrees","WGS84"
"N03",1,-109.80197974737,38.1431579007866,"2 transects of 50 quads",3.3,2.2,"decimal degrees","WGS84"
"N03",50,-109.800326067309,38.1429972868947,"2 transects of 50 quads",2.2,2.5,"decimal degrees","WGS84"
"N03",51,-109.800327483783,38.1429519068765,"2 transects of 50 quads",2.3,2.5,"decimal degrees","WGS84"
"N03",100,-109.802046352713,38.1430881984345,"2 transects of 50 quads",9,6.1,"decimal degrees","WGS84"
"N05",1,-109.749241343598,38.1569126098445,"2 transects of 50 quads",3.7,2.7,"decimal degrees","WGS84"
"N05",100,-109.748748702535,38.1569006594035,"2 transects of 50 quads",3.4,2,"decimal degrees","WGS84"
"N05",50,-109.747565838161,38.1570882060143,"2 transects of 50 quads",2.6,1.5,"decimal degrees","WGS84"
"N05",51,-109.74754302509,38.1570663623999,"2 transects of 50 quads",2.4,1.5,"decimal degrees","WGS84"
"N07",1,-109.805689980964,38.1670410616909,"2 transects of 50 quads",2.5,1.6,"decimal degrees","WGS84"
"N07",50,-109.804185641822,38.1678690738126,"2 transects of 50 quads",2.1,1.6,"decimal degrees","WGS84"
"N07",51,-109.804144749825,38.1678115733609,"2 transects of 50 quads",2.2,1.7,"decimal degrees","WGS84"
"N07",100,-109.805518553305,38.1669254896995,"2 transects of 50 quads",3.4,2.3,"decimal degrees","WGS84"
"N10",50,-109.756877297126,38.1683112634913,"2 transects of 50 quads",2.9,1.7,"decimal degrees","WGS84"
"N10",51,-109.756872443696,38.1682619130263,"2 transects of 50 quads",3.1,1.7,"decimal degrees","WGS84"
"N10",1,-109.758528397936,38.1677750550375,"2 transects of 50 quads",2.1,1.6,"decimal degrees","WGS84"
"N10",100,-109.758477857766,38.1677277566979,"2 transects of 50 quads",2.9,1.9,"decimal degrees","WGS84"
"N11",51,-109.854487990941,38.1072465066047,"2 transects of 50 quads",12,8.1,"decimal degrees","WGS84"
"N11",50,-109.854701807767,38.1071805627394,"2 transects of 50 quads",11.8,8,"decimal degrees","WGS84"
"N11",100,-109.85329180249,38.1063082501174,"2 transects of 50 quads",22.1,9,"decimal degrees","WGS84"
"N11",1,-109.853346180122,38.1062930444744,"2 transects of 50 quads",11.9,11.4,"decimal degrees","WGS84"
"N19",1,-109.75838187259,38.1669907475466,"2 transects of 50 quads",2,1.9,"decimal degrees","WGS84"
"N19",100,-109.758069339666,38.166647766828,"2 transects of 50 quads",2.5,1.9,"decimal degrees","WGS84"
"N19",51,-109.75673113951,38.1673045033425,"2 transects of 50 quads",2.7,2.3,"decimal degrees","WGS84"
"N19",50,-109.756764332338,38.1673463205251,"2 transects of 50 quads",2.6,2.5,"decimal degrees","WGS84"
