Type,Basis_Of_Record,Master_Family,Master_Plant_Code,Master_Species,Scientific_Name,Taxon_ID,UT_Family,CO_Family,WY_Family,UT_Plant_Code,UT_Species,CO_Plant_Code,CO_Species,WY_Plant_Code,WY_Species,Add_Synonyms,Taxonomic_Notes,Master_Common_Name,Lifeform,Duration,Nativity,Trinomial,Trinomial_Description,Unique_Species,Unique_Species_Description,LU_Code,Wetland_Code,Wetland_Code_Description,Wetland_Code_Info_Source,Photosynthetic_Pathway
Dataset,HumanObservation,Lamiaceae,NECA2,Nepeta cataria,Nepeta cataria,32623,Labiatae,Lamiaceae,NA,NECA2,Nepeta cataria,NECA2,Nepeta cataria,NA,NA,NA,NA,Catnip,Forb,Perennial,NonNative,0,FALSE,1,TRUE,NEPCAT,FACU,Facultative Upland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Campanulaceae,NEGL,Nemacladus glanduliferus,Nemacladus glanduliferus,34589,Campanulaceae,Campanulaceae,Campanulaceae,NEGL,Nemacladus glanduliferus,NEGL,Nemacladus glanduliferus,NEGL,Nemacladus glanduliferus,NA,NA,Glandular threadplant,Forb,Annual,Native,0,FALSE,1,TRUE,NEMGLA,UPL,Upland,NA,NA
Dataset,HumanObservation,Campanulaceae,NEMAC2,Nemacladus sp.,Nemacladus,34587,Campanulaceae,Campanulaceae,Campanulaceae,NEMAC2,Nemacladus sp.,NEMAC2,Nemacladus sp.,NEMAC2,Nemacladus sp.,NA,NA,Threadplant,NA,NA,NA,0,FALSE,0,FALSE,NEMACLADUS,NA,NA,NA,NA
Dataset,HumanObservation,Hydrophyllaceae,NEMOP,Nemophila sp.,Nemophila,31421,Hydrophyllaceae,Hydrophyllaceae,Hydrophyllaceae,NEMOP,Nemophila sp.,NEMOP,Nemophila sp.,NEMOP,Nemophila sp.,NA,NA,Baby blue eyes,NA,NA,NA,0,FALSE,0,FALSE,NEMOPHILA,NA,NA,NA,NA
Dataset,HumanObservation,Cactaceae,OPEN3,Opuntia engelmannii,Opuntia engelmannii,195316,Cactaceae,Cactaceae,Cactaceae,OPEN3,Opuntia engelmannii,OPEN3,Opuntia engelmannii,OPEN3,Opuntia engelmannii,NA,NA,Cactus apple,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUENG,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPENE,Opuntia engelmannii var. engelmannii,Opuntia engelmannii engelmannii,195317,Cactaceae,NA,NA,OPPHD,Opuntia phaeacantha var. discata,NA,NA,NA,NA,NA,NA,Frying pan pricklypear,DwarfShrub,Perennial,Native,1,TRUE,1,TRUE,OPUPHAD,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPER,Opuntia erinacea,Opuntia erinacea,19705,NA,NA,NA,OPER,Opuntia erinacea,NA,NA,NA,NA,NA,NA,Common pricklypear,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUERI,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPFR,Opuntia fragilis,Opuntia fragilis,19707,Cactaceae,Cactaceae,NA,OPFR,Opuntia fragilis,OPFRB,Opuntia fragilis,NA,NA,NA,NA,Brittle prickly-pear,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUFRA,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPMA2,Opuntia macrorhiza,Opuntia macrorhiza,19718,Cactaceae,Cactaceae,Cactaceae,OPMA2,Opuntia macrorhiza,OPMA2,Opuntia macrorhiza,OPMA2,Opuntia macrorhiza,NA,NA,Twistspine pricklypear,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUMAC,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPMA3,Opuntia martiniana,Opuntia martiniana,195330,Cactaceae,NA,NA,OPLIM,Opuntia littoralis var. martiniana,NA,NA,NA,NA,NA,Not recognized in flora of north america (2003),Littoral pricklypear,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPULIT,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPNI,Opuntia nicholii,Opuntia nicholii,19720,Cactaceae,NA,NA,OPNI,Opuntia nicholii,NA,NA,NA,NA,Opuntia polyacantha var. nicholii,NA,Nichol's pricklypear,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUNIC,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPPH,Opuntia phaeacantha,Opuntia phaeacantha,19724,Cactaceae,Cactaceae,Cactaceae,OPPH,Opuntia phaeacantha,OPPH,Opuntia phaeacantha,OPPH,Opuntia phaeacantha,NA,NA,Tulip pricklypear,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUPHA,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPPO,Opuntia polyacantha,Opuntia polyacantha,19726,NA,NA,NA,OPPO,Opuntia polyacantha,NA,Opuntia polyacantha,NA,Opuntia polyacantha,NA,NA,Plains prickly-pear,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUPOL,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPUNT,Opuntia sp.,Opuntia,19686,NA,NA,NA,OPUNT,Opuntia sp.,NA,NA,NA,NA,NA,NA,Pricklypear (sp).,DwarfShrub,Perennial,Native,0,FALSE,0,FALSE,OPUNTIA,UPL,Upland,NA,NA
Dataset,HumanObservation,Cactaceae,OPWH,Opuntia whipplei,Opuntia whipplei,19745,Cactaceae,NA,NA,OPWH,Opuntia whipplei,NA,NA,NA,NA,Cylindropuntia whipplei,NA,Whipple's cholla,DwarfShrub,Perennial,Native,0,FALSE,1,TRUE,OPUWHI,UPL,Upland,NA,NA
Dataset,HumanObservation,Apiaceae,ORAL,Oreoxis alpina,Oreoxis alpina,29779,Umbelliferae,Apiaceae,Apiaceae,ORAL,Oreoxis alpina,ORAL,Oreoxis alpina,ORAL,Oreoxis alpina,NA,NA,Alpine oreoxis,Forb,Perennial,Native,0,FALSE,1,TRUE,OREALP,UPL,Upland,NA,NA
Dataset,HumanObservation,Poaceae,ORAS,Oryzopsis asperifolia,Oryzopsis asperifolia,41979,Gramineae,Poaceae,NA,ORAS,Oryzopsis asperifolia,ORAS,Oryzopsis asperifolia,NA,NA,NA,NA,Roughleaf ricegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,ORYASP,UPL,Upland,NA,C3
Dataset,HumanObservation,Orobanchaceae,ORCO5,Orobanche corymbosa,Orobanche corymbosa,34287,Orobanchaceae,NA,NA,ORCO5,Orobanche corymbosa,NA,NA,NA,NA,NA,NA,Flat-topped broomrape,Forb,Perennial,Native,0,FALSE,1,TRUE,OROCOR,UPL,Upland,NA,NA
Dataset,HumanObservation,Asteraceae,OREOC,Oreochrysum sp.,Oreochrysum,564880,Compositae,Asteraceae,Asteraceae,OREOC,Oreochrysum sp.,OREOC,Oreochrysum sp.,OREOC,Oreochrysum sp.,NA,NA,Goldenrod,NA,NA,NA,0,FALSE,0,FALSE,OREOCHRYSUM,NA,NA,NA,NA
Dataset,HumanObservation,Apiaceae,OREOX,Oreoxis sp.,Oreoxis,29778,Umbelliferae,Apiaceae,Apiaceae,OREOX,Oreoxis sp.,OREOX,Oreoxis sp.,OREOX,Oreoxis sp.,NA,NA,Oreoxis,Forb,Perennial,Native,0,FALSE,0,FALSE,OREOXIS,UPL,Upland,NA,NA
Dataset,HumanObservation,Orobanchaceae,ORFA,Orobanche fasciculata,Orobanche fasciculata,34290,Orobanchaceae,Orobanchaceae,Orobanchaceae,ORFA,Orobanche fasciculata,APFA,Aphyllon fasciculatum,ORFA,Orobanche fasciculata,NA,Includes var. lutea.,Clustered broomrape,Forb,Perennial,Native,0,FALSE,1,TRUE,OROFAS,UPL,Upland,NA,NA
Dataset,HumanObservation,Apiaceae,ORLI,Orogenia linearifolia,Orogenia linearifolia,29777,Umbelliferae,NA,Apiaceae,ORLI,Orogenia linearifolia,NA,NA,ORLI,Orogenia linearifolia,NA,NA,Indian-potato,Forb,Perennial,Native,0,FALSE,1,TRUE,OROLIN,UPL,Upland,NA,NA
Dataset,HumanObservation,Orobanchaceae,ORLU,Orobanche ludoviciana,Orobanche ludoviciana,34291,Orobanchaceae,Orobanchaceae,NA,ORLU,Orobanche ludoviciana,ORLU,Orobanche ludoviciana,NA,NA,"Orobanche ludoviciana var. ludoviciana, Orobanche cooperi",Includes orobanche multiflora from ut flora (1993) and vars cooperi and araneosa,Cooper's broomrape,Forb,Perennial,Native,0,FALSE,1,TRUE,OROLUD,UPL,Upland,NA,NA
Dataset,HumanObservation,Scrophulariaceae,ORLU2,Orthocarpus luteus,Orthocarpus luteus,33437,Scrophulariaceae,Scrophulariaceae,Scrophulariaceae,ORLU2,Orthocarpus luteus,ORLU2,Orthocarpus luteus,ORLU2,Orthocarpus luteus,NA,NA,Yellow owl-clover,Forb,Annual,Native,0,FALSE,1,TRUE,ORTLUT,FACU,Facultative Upland,"Plants.usda.gov, 5/2011",NA
Dataset,HumanObservation,Orobanchaceae,OROBA,Orobanche sp.,Orobanche,34277,Orobanchaceae,Orobanchaceae,Orobanchaceae,OROBA,Orobanche sp.,OROBA,Orobanche sp.,OROBA,Orobanche sp.,NA,NA,Broomrape,Forb,Perennial,Native,0,FALSE,0,FALSE,OROBANCHE,NA,NA,NA,NA
Dataset,HumanObservation,Apiaceae,OROGE,Orogenia sp.,Orogenia,29775,Umbelliferae,Apiaceae,Apiaceae,OROGE,Orogenia sp.,OROGE,Orogenia sp.,OROGE,Orogenia sp.,NA,NA,Indian potato,NA,NA,NA,0,FALSE,0,FALSE,OROGENIA,NA,NA,NA,NA
Dataset,HumanObservation,Asteraceae,ORPA3,Oreochrysum parryi,Oreochrysum parryi,517938,Compositae,NA,NA,SOPA4,Solidago parryi,NA,NA,NA,NA,Haplopappus parryi,NA,Parry's goldenweed,Forb,Perennial,Native,0,FALSE,1,TRUE,SOLPAR,UPL,Upland,NA,NA
Dataset,HumanObservation,Scrophulariaceae,ORPU2,Orthocarpus purpureoalbus,Orthocarpus purpureoalbus,33456,Scrophulariaceae,Scrophulariaceae,NA,ORPU2,Orthocarpus purpureoalbus,ORPU2,Orthocarpus purpureoalbus,NA,NA,Orthocarpus purpureo-albus,NA,Violet owl-clover,Forb,Annual,Native,0,FALSE,1,TRUE,ORTPUR,UPL,Upland,NA,NA
Dataset,HumanObservation,Ericaceae,ORSE,Orthilia secunda,Orthilia secunda,504066,Pyrolaceae,Pyrolaceae,Ericaceae,PYSE,Pyrola secunda,ORSE,Orthilia secunda,ORSE,Orthilia secunda,NA,NA,Sidebells pyrola,Forb,Perennial,Native,0,FALSE,1,TRUE,PYRSEC,UPL,Upland,NA,NA
Dataset,HumanObservation,Pyrolaceae,ORTHI,Orthilia sp.,Orthilia,500455,Pyrolaceae,Pyrolaceae,Pyrolaceae,ORTHI,Orthilia sp.,ORTHI,Orthilia sp.,ORTHI,Orthilia sp.,NA,NA,Orthilia,NA,NA,NA,0,FALSE,0,FALSE,ORTHILIA,NA,NA,NA,NA
